address,city,date,id,injured,killed,source,state
301 N Rogers St,Clarksville,2020-01-01,1586171,1,0,https://www.nwahomepage.com/news/knwa/one-arrested-in-new-years-day-shooting-in-clarksville/,Arkansas
LA-182,Grand Coteau,2020-01-01,1586139,1,0,https://kadn.com/suspect-to-be-charged-with-attempted-first-degree-murder-in-grand-coteau-officer-involved-shooting/,Louisiana
2500 block of North Ave,Richmond,2020-01-01,1585484,0,1,https://www.nbc12.com/2020/01/01/dead-new-years-day-shooting-richmond/,Virginia
1437 St Clair Ave NE,Cleveland,2020-01-01,1585746,4,0,https://www.cleveland.com/metro/2020/01/man-charged-in-new-years-day-quadruple-shooting-at-downtown-cleveland-nightclub.html,Ohio
5900 block of Bear Creek Dr,Bedford (Bedford Heights),2020-01-01,1586051,1,1,https://www.cleveland.com/crime/2020/01/man-charged-in-shooting-killing-man-new-years-day-injuring-woman-in-bedford-heights-police-say.html,Ohio
3011 E Gore Blvd,Lawton,2020-01-01,1586146,1,0,https://www.kswo.com/2020/01/01/lpd-investigating-east-lawton-shooting/,Oklahoma
3900 Galt Ocean Dr,Fort Lauderdale,2020-01-01,1587164,0,1,https://www.sun-sentinel.com/local/broward/fort-lauderdale/fl-ne-galt-ocean-shooting-20200102-jcaseznlw5ertihbkurpmxz2qu-story.html,Florida
11 Elliewood Ave,Charlottesville,2020-01-01,1586675,1,0,https://www.dailyprogress.com/news/crime/woman-shot-on-elliewood-avenue-on-new-year-s-morning/article_0828611f-b85e-50e5-af74-ca7f07b0c4f0.html,Virginia
Cornelia Ave,Fresno,2020-01-01,1587149,3,0,https://abc30.com/3-injured-when-suspects-open-fire-on-northwest-fresno-apartment/5807444/,California
1300 block of Covington Dr,Desoto,2020-01-01,1587134,1,0,https://www.wfaa.com/article/news/crime/1-injured-new-years-shooting-desoto-home/287-d7d787a3-acc7-4418-840d-f6d3ce19774a,Texas
1900 block of E 5th Ave,Anchorage,2020-01-01,1586031,1,0,http://www.youralaskalink.com/news/swat-officers-responded-to-a-shooting-incident/article_53bb8b2a-2d9f-11ea-b2aa-7f63d737fef3.html,Alaska
500 block of E 3rd Ave,Belton,2020-01-01,1591514,1,0,https://www.kwtx.com/content/news/Arrest-made-in-New-Years-Day-shooting-that-sent-teen-to-local-hospital-566941121.html,Texas
E St and Goodhue Blvd,Lincoln,2020-01-01,1586122,0,0,https://www.1011now.com/content/news/Lincoln-homeowner-fires-gun-pepper-sprays-burglary-suspect-566623951.html,Nebraska
2130 N 61st St,Lincoln,2020-01-01,1589234,0,0,https://www.lincoln.ne.gov/city/police/stats/cfssat.htm,Nebraska
China Rose Dr,Austin,2020-01-01,1586119,0,0,https://www.kxan.com/news/local/austin/woman-says-bullet-came-through-her-roof-nearly-hit-her-after-midnight-in-east-austin/,Texas
N/A,Lincoln,2020-01-01,1620983,0,0,https://journalstar.com/news/local/crime-and-courts/police-chase-with--year-old-man-with-a-gun/article_d63fe08f-d89a-5fb9-91e2-3348cae32f3f.html,Nebraska
Hamilton St,Omaha,2020-01-01,1586114,1,0,https://www.omaha.com/news/year-old-man-drives-himself-to-omaha-hospital-after-shooting/article_e0361cb4-368d-580e-b79a-7b7fcb6584cc.html,Nebraska
Palm Ave,Fort Myers,2020-01-01,1587110,0,0,https://www.news-press.com/story/news/crime/2020/01/02/police-pulled-him-over-after-seeing-hearing-shots-fired/2795817001/,Florida
1825 Lorain Blvd,Elyria,2020-01-01,1586078,1,0,https://www.morningjournal.com/news/crime/lorain-man-arrested-for-alleged-involvement-in-elyria-days-inn/article_8c152afa-318a-11ea-861e-07d09c840881.html,Ohio
6244 Little River Turnpike,Alexandria,2020-01-01,1587077,1,0,https://www.wusa9.com/article/news/crime/shooting-bathroom-alexandria-restaurant-one-injury/65-75fd3975-f598-4012-a5ba-aee56c2d0aa4,Virginia
900 S Farm to Market Rd 1417,Sherman,2020-01-01,1587067,0,0,https://www.kxii.com/content/news/Man-arrested-after-firing-gun-at-Country-Village-Apartments-566668771.html,Texas
3700 Union Blvd,Saint Louis,2020-01-01,1586058,1,0,https://www.kmov.com/news/north-st-louis-man-charged-in-separate-shootings-on-new/article_dfdaa62a-2d0b-11ea-90ca-63c997e00db6.html,Missouri
Roosevelt St,Rio Grande City,2020-01-01,1588684,0,0,https://www.kveo.com/news/local-news/celebratory-gunfire-calls-drop-from-last-year-for-valley-city/,Texas
I-4,Volusia (county),2020-01-01,1585875,0,0,https://www.actionnewsjax.com/news/local/duval-county/fhp-investigating-road-rage-incident-suspect-may-have-shot-cars/WJE5VA7BRVG23N3FPXLUZFW5DY/,Florida
Vine St,Springfield Township,2020-01-01,1586080,0,0,https://local12.com/news/local/police-investigate-springfield-township-shooting-cincinnati,Ohio
1600 block of 7th St SE,Roanoke,2020-01-01,1585650,1,0,https://www.roanoke.com/news/crime/roanoke-police-investigate-early-morning-shooting/article_acaf4d42-4950-52a7-bdc6-2f18d6530ddc.html,Virginia
5300 block of Bahama Terrace,Cincinnati,2020-01-01,1585716,0,1,https://www.cincinnati.com/story/news/2020/01/01/cincinnati-new-years-morning-shooting-one-man-injured-mt-airy/2789688001/,Ohio
N/A,Locust Grove,2020-01-01,1587005,0,1,https://www.news9.com/story/41512583/teen-found-dead-shot-in-mayes-county-deputies-say,Oklahoma
1227 Morrell Ave,Dallas,2020-01-01,1586184,0,1,https://dpdbeat.com/2020/01/02/arrest-made-in-the-homicide-investigation-of-kerwin-clemons/,Texas
1300 block of South Cleveland Ave,Sioux Falls,2020-01-01,1585836,1,0,https://www.ksfy.com/content/news/New-Years-Day-shooting-in-Sioux-Falls-leaves-1-injured-3-suspects-in-custody-566628021.html,South Dakota
1397 Boonehill Rd,Summerville,2020-01-01,1587357,1,0,https://www.wistv.com/2020/01/06/police-man-charged-shooting-summerville-gas-station/,South Carolina
302 E 6th St,Austin,2020-01-01,1585823,2,0,https://www.statesman.com/news/20200110/new-yearrsquos-day-shooting-victim-sues-terminal-6-nightclub-for-negligence?rssfeed=true,Texas
100 block of Gandy Drive,Saint Louis (Creve Coeur),2020-01-01,1585864,2,0,https://fox2now.com/2020/01/01/gunfire-erupts-across-st-louis-on-violent-new-years-eve/,Missouri
Valley Rd,Ambridge,2020-01-01,1586872,0,0,https://www.wpxi.com/news/top-stories/bullet-new-years-celebratory-gunfire-shoots-through-familys-home/TTDRMS2PLBASJL7O7HM5BNTSUI/,Pennsylvania
2199 Southport Rd,Spartanburg,2020-01-01,1587878,0,0,https://www.wyff4.com/article/spartanburg-man-accused-in-2-sex-assaults-armed-robbery-committed-home-invasion-on-same-day-deputies-say/30391856,South Carolina
3000 block of N 25th St,Saint Louis,2020-01-01,1586056,1,0,https://www.ksdk.com/article/news/crime/update-10-people-shot-5-fatally-in-first-hours-of-2020/63-0e756c50-b0ff-4ae5-98e9-a23c7b94f7ea,Missouri
Willesden Green Ct,Hermitage,2020-01-01,1598354,0,1,https://www.wsmv.com/news/police-arrest-hermitage-man-for-fatal-shooting-on-new-year/article_b217462e-38c0-11ea-9fa2-831b26416f18.html,Tennessee
2300 block of E Fargo St,Broken Arrow,2020-01-01,1586953,1,0,https://www.newson6.com/story/41513136/man-arrested-after-woman-shot-in-broken-arrow-police-say,Oklahoma
9000 block of Warwick St,Detroit,2020-01-01,1587597,0,0,https://www.clickondetroit.com/news/local/2020/02/01/detroit-police-arrest-9-people-involved-in-dangerous-celebratory-gunfire-on-new-years-eve/,Michigan
Merrill Ave and West 58th St,Cleveland,2020-01-01,1585741,0,1,https://www.cleveland.com/crime/2020/01/cleveland-man-charged-in-girlfriends-death-while-firing-celebratory-gunshots-new-years-day.html,Ohio
3400 block of Monaghan St,Dublin,2020-01-01,1587120,1,1,https://www.eastbaytimes.com/2020/01/03/woman-suspect-fatally-shot-in-dublin-home-break-in-identified/,California
100 Canty Pl,Columbus,2020-01-01,1585541,0,1,https://www.wtvm.com/2020/01/01/two-teenagers-arrested-new-years-day-murder-columbus/,Georgia
1000 block of Darrow Ave,Evanston,2020-01-01,1586404,1,0,https://chicago.suntimes.com/crime/2020/1/7/21055320/aisha-perrin-charged-shooting-uncle-argument-evanston-apartment-building-gun-violence,Illinois
200 block of Arch St,Akron,2020-01-01,1586941,1,0,https://www.news5cleveland.com/news/local-news/akron-canton-news/robber-shoots-akron-man-in-the-head-steals-playstation-4-during-home-invasion,Ohio
S Broad St,Globe,2020-01-01,1586980,0,1,https://www.azcentral.com/story/news/local/arizona-breaking/2020/01/03/eric-tellez-jr-fatally-shot-globe-police-officer-new-years-eve/2803505001/,Arizona
N/A,Stark (county),2020-01-01,1587822,1,0,https://www.cantonrep.com/news/20200102/celebratory-lake-township-gunfire-ends-in-new-yearrsquos-hospital-visit,Ohio
Lake Ruby Rd,Deland,2020-01-01,1596317,0,0,https://www.news-journalonline.com/news/20200113/new-yearrsquos-celebration-bullet-damages-deland-area-homersquos-air-conditioning,Florida
140 Crown Dr,Danville,2020-01-01,1587099,1,0,https://www.godanriver.com/news/local/police-woman-shot-in-parking-lot-of-kickback-jack-s/article_a4b9ce29-ca42-5d20-b93b-25911f00414d.html,Virginia
1000 block of E Republic St,Peoria,2020-01-01,1587817,0,0,https://www.pjstar.com/news/20200103/police-find-more-than-100-shell-casings-near-house,Illinois
1100 block of Sycamore St,Cincinnati,2020-01-01,1585859,3,0,https://www.cincinnati.com/story/news/crime/crime-and-courts/2020/01/02/suspect-downtown-triple-shooting-appears-court/2794485001/,Ohio
1000 block of Finchs Hill Rd,Warsaw,2020-01-01,1587710,0,1,https://www.wric.com/news/virginia-news/suspect-shot-by-police-during-execution-of-arrest-warrant-in-warsaw/,Virginia
Manhattan Ave and W 107th St,New York (Manhattan),2020-01-01,1586049,0,1,https://nypost.com/2020/01/02/nyc-corrections-officer-arraigned-on-murder-charge-in-shooting-death-of-uncle/,New York
1113 4th Ave,Huntington,2020-01-01,1585394,7,0,https://www.wowktv.com/news/breaking-news/huntington-police-name-suspect-in-new-years-bar-shooting/,West Virginia
Indianola Ave and E 15th Ave,Cleveland,2020-01-01,1591683,0,0,https://www.nbc4i.com/news/local-news/safety-notice-issued-after-students-vehicle-stolen-by-armed-suspects-near-ohio-states-campus/,Ohio
100 block of S Main St,Lima,2020-01-01,1587797,0,0,https://www.facebook.com/AllenCountySheriffsOffice/videos/2599066293511023/,Ohio
1803 Pio Nono Ave,Macon,2020-01-01,1587799,0,0,https://wgxa.tv/news/local/deputies-2-arrested-after-macon-man-threatens-citgo-clerk,Georgia
12 S Calhoun St,Greenville,2020-01-01,1585702,1,0,https://www.wyff4.com/article/greenville-man-arrested-for-shooting-another-man-in-garage-who-refused-to-give-him-money-police-say/30472641,South Carolina
13611 Grand River Ave,Detroit,2020-01-01,1585993,1,0,https://www.freep.com/story/news/local/michigan/wayne/2020/01/02/galaxy-coney-island-detroit-kidnapping-attempt/2793753001/,Michigan
700 block of E 2nd St,Pueblo,2020-01-01,1588566,0,0,https://www.chieftain.com/news/20200103/pueblo-crime-beat-safe-streets-fugitives-sought,Colorado
3037 N Prospect Road,Peoria,2020-01-01,1587788,0,0,https://www.pjstar.com/news/20200103/multiple-vehicles-hit-by-gunfire-over-new-years-holiday,Illinois
N Dobbins St,Union City,2020-01-01,1586607,1,0,https://www.wbbjtv.com/2020/01/02/1-injured-in-union-city-shooting/,Tennessee
1300 block of E Tripp Ave,Peoria,2020-01-01,1587784,0,0,https://www.pjstar.com/news/20200103/multiple-vehicles-hit-by-gunfire-over-new-years-holiday,Illinois
530 NE Glen Oak Ave,Peoria,2020-01-01,1587783,0,0,https://www.pjstar.com/news/20200103/multiple-vehicles-hit-by-gunfire-over-new-years-holiday,Illinois
6300 block of Dawnfield Ln,Richmond,2020-01-01,1586848,0,0,https://wtvr.com/2020/01/01/dawnfield-lane-shots-fired-into-varina-home/,Virginia
202 Republic St,Uniontown,2020-01-01,1586279,0,2,https://www.wtae.com/article/state-police-investigating-murder-suicide/30375588,Pennsylvania
Lazy Ridge Rd,Houston,2020-01-01,1586843,0,0,https://www.khou.com/article/news/local/new-years-gunfire-shattered-familys-bedroom-window/285-1406a5cc-b325-46ca-97b2-f52ea19ad902,Texas
N Cleveland St and Jefferson Ave,Memphis,2020-01-01,1586837,0,0,https://wreg.com/2020/01/02/police-searching-for-suspect-who-attacked-fired-shots-at-good-samaritan/,Tennessee
Puritan Ave,Detroit,2020-01-01,1586002,1,0,https://wwjnewsradio.radio.com/articles/news/detroit-police-investigating-multiple-new-years-shootings,Michigan
Puritan Ave and Linwood St,Detroit,2020-01-01,1585996,2,0,https://wwjnewsradio.radio.com/articles/news/detroit-police-investigating-multiple-new-years-shootings,Michigan
