address,city,date,id,injured,killed,lat,lng,source,state
301 N Rogers St,Clarksville,1/1/2020,1586171,1,0,35.4734509,-93.4590003,https://www.nwahomepage.com/news/knwa/one-arrested-in-new-years-day-shooting-in-clarksville/,Arkansas
LA-182,Grand Coteau,1/1/2020,1586139,1,0,30.4199203,-92.0465087,https://kadn.com/suspect-to-be-charged-with-attempted-first-degree-murder-in-grand-coteau-officer-involved-shooting/,Louisiana
2500 block of North Ave,Richmond,1/1/2020,1585484,0,1,37.5651003,-77.4334188,https://www.nbc12.com/2020/01/01/dead-new-years-day-shooting-richmond/,Virginia
1437 St Clair Ave NE,Cleveland,1/1/2020,1585746,4,0,41.5062536,-81.6859114,https://www.cleveland.com/metro/2020/01/man-charged-in-new-years-day-quadruple-shooting-at-downtown-cleveland-nightclub.html,Ohio
5900 block of Bear Creek Dr,Bedford (Bedford Heights),1/1/2020,1586051,1,1,41.4003435,-81.5103588,https://www.cleveland.com/crime/2020/01/man-charged-in-shooting-killing-man-new-years-day-injuring-woman-in-bedford-heights-police-say.html,Ohio
3011 E Gore Blvd,Lawton,1/1/2020,1586146,1,0,34.6085283,-98.3521402,https://www.kswo.com/2020/01/01/lpd-investigating-east-lawton-shooting/,Oklahoma
3900 Galt Ocean Dr,Fort Lauderdale,1/1/2020,1587164,0,1,26.1758349,-80.0975557,https://www.sun-sentinel.com/local/broward/fort-lauderdale/fl-ne-galt-ocean-shooting-20200102-jcaseznlw5ertihbkurpmxz2qu-story.html,Florida
11 Elliewood Ave,Charlottesville,1/1/2020,1586675,1,0,38.0360722,-78.5002052,https://www.dailyprogress.com/news/crime/woman-shot-on-elliewood-avenue-on-new-year-s-morning/article_0828611f-b85e-50e5-af74-ca7f07b0c4f0.html,Virginia
Cornelia Ave,Fresno,1/1/2020,1587149,3,0,36.8313119,-119.8805448,https://abc30.com/3-injured-when-suspects-open-fire-on-northwest-fresno-apartment/5807444/,California
1300 block of Covington Dr,Desoto,1/1/2020,1587134,1,0,32.610726,-96.892085,https://www.wfaa.com/article/news/crime/1-injured-new-years-shooting-desoto-home/287-d7d787a3-acc7-4418-840d-f6d3ce19774a,Texas
1900 block of E 5th Ave,Anchorage,1/1/2020,1586031,1,0,61.2175529,-149.8648891,http://www.youralaskalink.com/news/swat-officers-responded-to-a-shooting-incident/article_53bb8b2a-2d9f-11ea-b2aa-7f63d737fef3.html,Alaska
500 block of E 3rd Ave,Belton,1/1/2020,1591514,1,0,31.05797,-97.458083,https://www.kwtx.com/content/news/Arrest-made-in-New-Years-Day-shooting-that-sent-teen-to-local-hospital-566941121.html,Texas
E St and Goodhue Blvd,Lincoln,1/1/2020,1586122,0,0,40.8036724,-96.7083668,https://www.1011now.com/content/news/Lincoln-homeowner-fires-gun-pepper-sprays-burglary-suspect-566623951.html,Nebraska
2130 N 61st St,Lincoln,1/1/2020,1589234,0,0,40.8338058,-96.6380522,https://www.lincoln.ne.gov/city/police/stats/cfssat.htm,Nebraska
China Rose Dr,Austin,1/1/2020,1586119,0,0,30.2797612,-97.6262504,https://www.kxan.com/news/local/austin/woman-says-bullet-came-through-her-roof-nearly-hit-her-after-midnight-in-east-austin/,Texas
N/A,Lincoln,1/1/2020,1620983,0,0,40.8088861,-96.7077751,https://journalstar.com/news/local/crime-and-courts/police-chase-with--year-old-man-with-a-gun/article_d63fe08f-d89a-5fb9-91e2-3348cae32f3f.html,Nebraska
Hamilton St,Omaha,1/1/2020,1586114,1,0,41.2719711,-95.9528735,https://www.omaha.com/news/year-old-man-drives-himself-to-omaha-hospital-after-shooting/article_e0361cb4-368d-580e-b79a-7b7fcb6584cc.html,Nebraska
Palm Ave,Fort Myers,1/1/2020,1587110,0,0,26.6471537,-81.856413,https://www.news-press.com/story/news/crime/2020/01/02/police-pulled-him-over-after-seeing-hearing-shots-fired/2795817001/,Florida
1825 Lorain Blvd,Elyria,1/1/2020,1586078,1,0,41.3955642,-82.1167542,https://www.morningjournal.com/news/crime/lorain-man-arrested-for-alleged-involvement-in-elyria-days-inn/article_8c152afa-318a-11ea-861e-07d09c840881.html,Ohio
6244 Little River Turnpike,Alexandria,1/1/2020,1587077,1,0,38.8177857,-77.1414204,https://www.wusa9.com/article/news/crime/shooting-bathroom-alexandria-restaurant-one-injury/65-75fd3975-f598-4012-a5ba-aee56c2d0aa4,Virginia
900 S Farm to Market Rd 1417,Sherman,1/1/2020,1587067,0,0,35.83272,-80.836455,https://www.kxii.com/content/news/Man-arrested-after-firing-gun-at-Country-Village-Apartments-566668771.html,Texas
3700 Union Blvd,Saint Louis,1/1/2020,1586058,1,0,38.679304,-90.258083,https://www.kmov.com/news/north-st-louis-man-charged-in-separate-shootings-on-new/article_dfdaa62a-2d0b-11ea-90ca-63c997e00db6.html,Missouri
Roosevelt St,Rio Grande City,1/1/2020,1588684,0,0,26.382624,-98.8333904,https://www.kveo.com/news/local-news/celebratory-gunfire-calls-drop-from-last-year-for-valley-city/,Texas
I-4,Volusia (county),1/1/2020,1585875,0,0,29.168591,-81.5209046,https://www.actionnewsjax.com/news/local/duval-county/fhp-investigating-road-rage-incident-suspect-may-have-shot-cars/WJE5VA7BRVG23N3FPXLUZFW5DY/,Florida
Vine St,Springfield Township,1/1/2020,1586080,0,0,39.2126554,-84.4741282,https://local12.com/news/local/police-investigate-springfield-township-shooting-cincinnati,Ohio
1600 block of 7th St SE,Roanoke,1/1/2020,1585650,1,0,37.259078,-79.926892,https://www.roanoke.com/news/crime/roanoke-police-investigate-early-morning-shooting/article_acaf4d42-4950-52a7-bdc6-2f18d6530ddc.html,Virginia
5300 block of Bahama Terrace,Cincinnati,1/1/2020,1585716,0,1,39.188231,-84.565024,https://www.cincinnati.com/story/news/2020/01/01/cincinnati-new-years-morning-shooting-one-man-injured-mt-airy/2789688001/,Ohio
N/A,Locust Grove,1/1/2020,1587005,0,1,36.2000936,-95.1677401,https://www.news9.com/story/41512583/teen-found-dead-shot-in-mayes-county-deputies-say,Oklahoma
1227 Morrell Ave,Dallas,1/1/2020,1586184,0,1,32.7391976,-96.8061886,https://dpdbeat.com/2020/01/02/arrest-made-in-the-homicide-investigation-of-kerwin-clemons/,Texas
1300 block of South Cleveland Ave,Sioux Falls,1/1/2020,1585836,1,0,43.5345552,-96.6912768,https://www.ksfy.com/content/news/New-Years-Day-shooting-in-Sioux-Falls-leaves-1-injured-3-suspects-in-custody-566628021.html,South Dakota
1397 Boonehill Rd,Summerville,1/1/2020,1587357,1,0,35.804235,-80.883322,https://www.wistv.com/2020/01/06/police-man-charged-shooting-summerville-gas-station/,South Carolina
302 E 6th St,Austin,1/1/2020,1585823,2,0,30.267614,-97.740064,https://www.statesman.com/news/20200110/new-yearrsquos-day-shooting-victim-sues-terminal-6-nightclub-for-negligence?rssfeed=true,Texas
100 block of Gandy Drive,Saint Louis (Creve Coeur),1/1/2020,1585864,2,0,38.6883218,-90.4230594,https://fox2now.com/2020/01/01/gunfire-erupts-across-st-louis-on-violent-new-years-eve/,Missouri
Valley Rd,Ambridge,1/1/2020,1586872,0,0,40.5802904,-80.2200438,https://www.wpxi.com/news/top-stories/bullet-new-years-celebratory-gunfire-shoots-through-familys-home/TTDRMS2PLBASJL7O7HM5BNTSUI/,Pennsylvania
2199 Southport Rd,Spartanburg,1/1/2020,1587878,0,0,34.9224884,-81.889779,https://www.wyff4.com/article/spartanburg-man-accused-in-2-sex-assaults-armed-robbery-committed-home-invasion-on-same-day-deputies-say/30391856,South Carolina
3000 block of N 25th St,Saint Louis,1/1/2020,1586056,1,0,38.65442,-90.208291,https://www.ksdk.com/article/news/crime/update-10-people-shot-5-fatally-in-first-hours-of-2020/63-0e756c50-b0ff-4ae5-98e9-a23c7b94f7ea,Missouri
Willesden Green Ct,Hermitage,1/1/2020,1598354,0,1,36.184211,-86.595745,https://www.wsmv.com/news/police-arrest-hermitage-man-for-fatal-shooting-on-new-year/article_b217462e-38c0-11ea-9fa2-831b26416f18.html,Tennessee
2300 block of E Fargo St,Broken Arrow,1/1/2020,1586953,1,0,36.08104,-95.7626965,https://www.newson6.com/story/41513136/man-arrested-after-woman-shot-in-broken-arrow-police-say,Oklahoma
9000 block of Warwick St,Detroit,1/1/2020,1587597,0,0,42.359579,-83.227373,https://www.clickondetroit.com/news/local/2020/02/01/detroit-police-arrest-9-people-involved-in-dangerous-celebratory-gunfire-on-new-years-eve/,Michigan
Merrill Ave and West 58th St,Cleveland,1/1/2020,1585741,0,1,41.468818,-81.727074,https://www.cleveland.com/crime/2020/01/cleveland-man-charged-in-girlfriends-death-while-firing-celebratory-gunshots-new-years-day.html,Ohio
3400 block of Monaghan St,Dublin,1/1/2020,1587120,1,1,37.7079563,-121.8616042,https://www.eastbaytimes.com/2020/01/03/woman-suspect-fatally-shot-in-dublin-home-break-in-identified/,California
100 Canty Pl,Columbus,1/1/2020,1585541,0,1,32.451806,-84.96364,https://www.wtvm.com/2020/01/01/two-teenagers-arrested-new-years-day-murder-columbus/,Georgia
1000 block of Darrow Ave,Evanston,1/1/2020,1586404,1,0,42.035829,-87.697801,https://chicago.suntimes.com/crime/2020/1/7/21055320/aisha-perrin-charged-shooting-uncle-argument-evanston-apartment-building-gun-violence,Illinois
200 block of Arch St,Akron,1/1/2020,1586941,1,0,41.083999,-81.49985,https://www.news5cleveland.com/news/local-news/akron-canton-news/robber-shoots-akron-man-in-the-head-steals-playstation-4-during-home-invasion,Ohio
S Broad St,Globe,1/1/2020,1586980,0,1,33.3951302,-110.7867929,https://www.azcentral.com/story/news/local/arizona-breaking/2020/01/03/eric-tellez-jr-fatally-shot-globe-police-officer-new-years-eve/2803505001/,Arizona
N/A,Stark (county),1/1/2020,1587822,1,0,40.7214654,-81.4399734,https://www.cantonrep.com/news/20200102/celebratory-lake-township-gunfire-ends-in-new-yearrsquos-hospital-visit,Ohio
Lake Ruby Rd,Deland,1/1/2020,1596317,0,0,40.21799,-79.49156,https://www.news-journalonline.com/news/20200113/new-yearrsquos-celebration-bullet-damages-deland-area-homersquos-air-conditioning,Florida
140 Crown Dr,Danville,1/1/2020,1587099,1,0,36.595016,-79.42596,https://www.godanriver.com/news/local/police-woman-shot-in-parking-lot-of-kickback-jack-s/article_a4b9ce29-ca42-5d20-b93b-25911f00414d.html,Virginia
1000 block of E Republic St,Peoria,1/1/2020,1587817,0,0,40.713376,-89.58117,https://www.pjstar.com/news/20200103/police-find-more-than-100-shell-casings-near-house,Illinois
1100 block of Sycamore St,Cincinnati,1/1/2020,1585859,3,0,39.108011,-84.509602,https://www.cincinnati.com/story/news/crime/crime-and-courts/2020/01/02/suspect-downtown-triple-shooting-appears-court/2794485001/,Ohio
1000 block of Finchs Hill Rd,Warsaw,1/1/2020,1587710,0,1,36.100554,-86.140301,https://www.wric.com/news/virginia-news/suspect-shot-by-police-during-execution-of-arrest-warrant-in-warsaw/,Virginia
Manhattan Ave and W 107th St,New York (Manhattan),1/1/2020,1586049,0,1,40.8099883,-73.9532094,https://nypost.com/2020/01/02/nyc-corrections-officer-arraigned-on-murder-charge-in-shooting-death-of-uncle/,New York
1113 4th Ave,Huntington,1/1/2020,1585394,7,0,38.4213917,-82.439813,https://www.wowktv.com/news/breaking-news/huntington-police-name-suspect-in-new-years-bar-shooting/,West Virginia
Indianola Ave and E 15th Ave,Cleveland,1/1/2020,1591683,0,0,40.21799,-79.49156,https://www.nbc4i.com/news/local-news/safety-notice-issued-after-students-vehicle-stolen-by-armed-suspects-near-ohio-states-campus/,Ohio
100 block of S Main St,Lima,1/1/2020,1587797,0,0,38.625779,-83.258773,https://www.facebook.com/AllenCountySheriffsOffice/videos/2599066293511023/,Ohio
1803 Pio Nono Ave,Macon,1/1/2020,1587799,0,0,32.8255568,-83.6629936,https://wgxa.tv/news/local/deputies-2-arrested-after-macon-man-threatens-citgo-clerk,Georgia
12 S Calhoun St,Greenville,1/1/2020,1585702,1,0,34.842921,-82.4161333,https://www.wyff4.com/article/greenville-man-arrested-for-shooting-another-man-in-garage-who-refused-to-give-him-money-police-say/30472641,South Carolina
13611 Grand River Ave,Detroit,1/1/2020,1585993,1,0,42.3846645,-83.1787492,https://www.freep.com/story/news/local/michigan/wayne/2020/01/02/galaxy-coney-island-detroit-kidnapping-attempt/2793753001/,Michigan
